"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2014-10-06","3.80",,"0.00","0.0","0.0",,"69","50",,"  160","  160","15.0","23.9",,,,,,,,,,,,
"USW00094728","2014-10-07","4.70",,"0.06","0.0","0.0",,"71","63",,"  170","  240","10.1","21.0","    1",,,,,,,,,,,
"USW00094728","2014-10-08","7.16",,"0.04","0.0","0.0",,"73","62",,"  260","  240","15.0","25.9","    1",,,,,,,,,,,
"USW00094728","2014-10-09","5.59",,"0.00","0.0","0.0",,"68","55",,"  280","  290","18.1","32.0",,,,,,,,,,,,
"USW00094728","2014-10-10","2.24",,"0.00","0.0","0.0",,"64","52",,"  290","  280","6.9","11.0",,,,,,,,,,,,
"USW00094728","2014-10-11","4.47",,"0.33","0.0","0.0",,"60","50",,"   40","   40","10.1","17.0","    1",,,,,,,,,,,
"USW00094728","2014-10-12","2.68",,"0.00","0.0","0.0",,"63","48",,"   30","   30","13.0","19.0",,,,,,,,,,,,
"USW00094728","2014-10-13","2.68",,"0.05","0.0","0.0",,"65","52",,"  160","  170","8.1","16.1","    1",,,,,"    1",,,,,,
"USW00094728","2014-10-14","4.70",,"0.00","0.0","0.0",,"76","63",,"  180","  180","13.0","23.0","    1",,,,,,,,,,,
"USW00094728","2014-10-15","5.14",,"0.69","0.0","0.0",,"77","69",,"  170","  190","14.1","25.1","    1",,,,,"    1",,,,,,
"USW00094728","2014-10-16","4.03",,"1.11","0.0","0.0",,"71","61",,"  250","  170","13.0","19.9","    1",,,,,,,,,,,
"USW00094728","2014-10-17","4.47",,"0.00","0.0","0.0",,"71","59",,"  250","  260","14.1","23.0",,,,,,,,,,,,
"USW00094728","2014-10-18","6.26",,"0.00","0.0","0.0",,"70","56",,"  280","  290","15.0","23.0",,,,,,"    1",,,,,,
"USW00094728","2014-10-19","7.61",,"0.00","0.0","0.0",,"56","44",,"  300","  300","17.0","28.0",,,,,,,,,,,,
"USW00094728","2014-10-20","3.80",,"0.00","0.0","0.0",,"60","42",,"  240","  260","12.1","19.0",,,,,,"    1",,,,,,
"USW00094728","2014-10-21","3.58",,"0.11","0.0","0.0",,"67","55",,"  140","  150","12.1","18.1","    1",,,,,,,,,,,
"USW00094728","2014-10-22","9.40",,"1.51","0.0","0.0",,"58","50",,"   30","   50","18.1","30.0","    1",,,,,"    1",,,,,,
"USW00094728","2014-10-23","7.61",,"0.61","0.0","0.0",,"53","50",,"   40","   40","12.1","25.1","    1",,,,,,,,,,,
"USW00094728","2014-10-24","4.47",,"0.00","0.0","0.0",,"63","51",,"  310","  300","12.1","19.0",,,,,,,,,,,,
"USW00094728","2014-10-25","5.82",,"0.01","0.0","0.0",,"67","50",,"  300","  260","13.0","25.9",,,,,,,,,,,,
"USW00094728","2014-10-26","7.83",,"0.00","0.0","0.0",,"63","53",,"  310","  310","18.1","32.0",,,,,,,,,,,,
"USW00094728","2014-10-27","5.14",,"0.00","0.0","0.0",,"63","48",,"  270","  270","13.0","21.0",,,,,,,,,,,,
"USW00094728","2014-10-28","2.91",,"0.00","0.0","0.0",,"72","53",,"  240","  200","12.1","19.9",,,,,,,,,,,,
"USW00094728","2014-10-29","4.92",,"0.00","0.0","0.0",,"72","51",,"  310","  310","14.1","23.9",,,,,,"    1",,,,,,
"USW00094728","2014-10-30","3.58",,"0.00","0.0","0.0",,"59","47",,"  310",,"10.1",,,,,,,,,,,,,
"USW00094728","2014-10-31","6.49",,"0.05","0.0","0.0",,"55","45",,"   70","   70","15.0","23.0","    1",,,,,,,,,,,
"USW00094728","2014-11-01","8.95",,"0.35","0.0","0.0",,"47","42",,"   30","   20","21.0","31.1",,,,,,,,,,,,
